Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Description,Location,District,City
X564268706,شقة,5.0,3.0,128.0,550000.0,شقه للبيع في  الزهرة، غرب الرياض,الزهرة، غرب الرياض، الرياض,حي الزهرة,الرياض
N958226528,دور,4.0,3.0,500.0,860000.0,"دور للبيع في شبرا, غرب الرياض",شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
U934146095,دور,4.0,4.0,500.0,860000.0,دور أرضي للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
O424839322,دور,4.0,4.0,214.0,1430000.0,دور للبيع في العارض، شمال الرياض,العارض، شمال الرياض، الرياض,حي العارض,الرياض
E940246066,دور,4.0,3.0,500.0,860000.0,دور للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
E739553712,شقة,5.0,4.0,171.0,650000.0,"شقه للبيع حي الغروب , الرياض",طويق، غرب الرياض، الرياض,حي طويق,الرياض
T077412920,عمارة سكنية,0.0,0.0,750.0,1299000.0,"شقة للبيع في الملك فيصل, شرق الرياض",الملك فيصل، شرق الرياض، الرياض,حي الملك فيصل,الرياض
Z255908560,شقة,3.0,2.0,175.0,663400.0,🏢✨  فرصة فريدة لامتلاك شقة في طويق - غرب الرياض!,طويق، غرب الرياض، الرياض,حي طويق,الرياض
G383274413,ارض سكنية,0.0,0.0,480.0,5900000.0,أرض سكنية للبيع في الملقا، شمال الرياض,الملقا، شمال الرياض، الرياض,حي الملقا,الرياض
M023797587,ارض سكنية,0.0,0.0,800.0,2050000.0,أرض سكنية للبيع في حي الخير، شمال الرياض,مخطط الخير، شمال الرياض، الرياض,حي مخطط الخير,الرياض
Q980046426,ارض سكنية,0.0,0.0,480.0,5850000.0,أرض للبيع في الملقا، شمال الرياض,الملقا، شمال الرياض، الرياض,حي الملقا,الرياض
R135067827,شقة,4.0,3.0,147.0,1300000.0,شقة للبيع في الملقا، شمال الرياض,الملقا، شمال الرياض، الرياض,حي الملقا,الرياض
Q542824172,فیلا,5.0,5.0,364.0,4400000.0,مشروع إعمار الياسمين بحي الياسمين,الياسمين، شمال الرياض، الرياض,حي الياسمين,الرياض
U076772864,فیلا,5.0,5.0,360.0,4100000.0,مشروع إعمار الياسمين بحي الياسمين,الياسمين، شمال الرياض، الرياض,حي الياسمين,الرياض
Q239655379,فیلا,3.0,5.0,250.0,3400000.0,مشروع أبادي - 1 بحي ‫الياسمين,الياسمين، شمال الرياض، الرياض,حي الياسمين,الرياض
N349421005,فیلا,3.0,5.0,250.0,3300000.0,"فيلا للبيع في الياسمين, شمال الرياض",الياسمين، شمال الرياض، الرياض,حي الياسمين,الرياض
K259497666,شقة,3.0,3.0,136.0,680000.0,شقة للبيع في حي السعادة، شرق الرياض,السعادة، شرق الرياض، الرياض,حي السعادة,الرياض
K341463441,عمارة,0.0,0.0,312.0,3700000.0,عمارة للبيع في الضباض، وسط الرياض,الضباط، وسط الرياض، الرياض,حي الضباط,الرياض
Q849167239,فیلا,9.0,6.0,490.0,15000000.0,حطين طريق الأمير محمد بن سلمان,حطين، شمال الرياض، الرياض,حي حطين,الرياض
D554727661,دور,4.0,4.0,214.0,760000.0,دور للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
Z952751472,دور,3.0,3.0,500.0,800000.0,أدوار للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
C013290657,دور,3.0,3.0,214.0,760000.0,دور للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
K018925967,دور,4.0,4.0,214.0,760000.0,أدوار للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
C744104276,شقة,3.0,3.0,131.0,420000.0,شقة للبيع في الدار البيضاء، جنوب الرياض,الدار البيضاء، جنوب الرياض، الرياض,حي الدار البيضاء,الرياض
U958414783,شقة,4.0,3.0,190.0,1250000.0,"شقة فاخرة للبيع في النرجس, شمال الرياض (تم الحجز) (لدينا شقق أخرى) بنفس السعر والمواصفات",النرجس، شمال الرياض، الرياض,حي النرجس,الرياض
G806519368,شقة,3.0,4.0,1155.0,1200000.0,شقة فاخرة  للبيع بالعارض بسعر منافس وموقع متميز 3 غرف نوم منهم غرفتين نوم ماستر بحمام,العارض، شمال الرياض، الرياض,حي العارض,الرياض
X627474393,دور,3.0,3.0,500.0,860000.0,أدورا للبيع في شبرا، غرب الرياض,شبرا، غرب الرياض، الرياض,حي شبرا,الرياض
A906369951,شقة,3.0,3.0,3150.0,1240000.0,"شقة للبيع في العارض, شمال الرياض",العارض، شمال الرياض، الرياض,حي العارض,الرياض
E562543978,شقة,3.0,3.0,3150.0,1235000.0,"شقة للبيع في العارض, شمال الرياض",العارض، شمال الرياض، الرياض,حي العارض,الرياض
W524274354,شقة,4.0,4.0,163.0,2100000.0,شقة للبيع في حطين، شمال الرياض,حطين، شمال الرياض، الرياض,حي حطين,الرياض
T947839059,دور,4.0,3.0,625.0,700000.0,"دور للبيع في شارع الطفيل بن زيد, حي الزهرة, مدينة الرياض, منطقة الرياض",الزهرة، غرب الرياض، الرياض,حي الزهرة,الرياض
U845525076,شقة,3.0,3.0,153.0,650000.0,شقة 3 غرف نوم للبيع في السويدي، الرياض,السويدي، غرب الرياض، الرياض,حي السويدي,الرياض
P978826675,دور,3.0,4.0,362.0,1800000.0,دور للبيع في العارض، شمال الرياض,العارض، شمال الرياض، الرياض,حي العارض,الرياض
Y761170177,فیلا,4.0,5.0,400.0,5600000.0,"فيلا للبيع في الياسمين, شمال الرياض",الياسمين، شمال الرياض، الرياض,حي الياسمين,الرياض
A763958248,دور,3.0,5.0,211.0,1800000.0,"دور للبيع في الريان, شرق الرياض",الريان، شرق الرياض، الرياض,حي الريان,الرياض
T608796423,فیلا,5.0,6.0,990.0,11000000.0,فيلا راقية للبيع في الصحافة، شمال الرياض,الصحافة، شمال الرياض، الرياض,حي الصحافة,الرياض
G861017665,شقة,3.0,3.0,146.0,1019000.0,شقة للبيع في  الملك فيصل، شرق الرياض,الملك فيصل، شرق الرياض، الرياض,حي الملك فيصل,الرياض
Q645049391,شقة,2.0,2.0,144.0,1160000.0,"شقة للبيع في النرجس, شمال الرياض",النرجس، شمال الرياض، الرياض,حي النرجس,الرياض
I885190007,عمارة سكنية,0.0,0.0,336.0,5300000.0,عمارة للبيع في الورود، شمال الرياض,الورود، شمال الرياض، الرياض,حي الورود,الرياض
I797471380,دور,3.0,3.0,143.0,610000.0,دور للبيع في عكاظ، جنوب الرياض,عكاظ، جنوب الرياض، الرياض,حي عكاظ,الرياض
W778427702,دور,3.0,4.0,540.0,1450000.0,دور للبيع في المونسية، شرق الرياض,المونسية، شرق الرياض، الرياض,حي المونسية,الرياض
E979715550,شقة,4.0,4.0,143.0,1300000.0,شقة للبيع في الملقا، شمال الرياض,الملقا، شمال الرياض، الرياض,حي الملقا,الرياض
Q672444822,فیلا,4.0,5.0,400.0,2150000.0,فيلا فاخرة للبيع في المهدية، غرب الرياض,المهدية، غرب الرياض، الرياض,حي المهدية,الرياض
G258592692,شقة,3.0,3.0,161.0,975000.0,شقة للبيع في حي المهدية، غرب بالرياض,المهدية، غرب الرياض، الرياض,حي المهدية,الرياض
F588884204,شقة,4.0,3.0,125.0,650000.0,شقة للبيع في ظهرة لبن، غرب الرياض,ظهرة لبن، غرب الرياض، الرياض,حي ظهرة لبن,الرياض
O178654932,شقة,4.0,3.0,900.0,550000.0,شقة للبيع في بدر، جنوب الرياض,بدر، جنوب الرياض، الرياض,حي بدر,الرياض
M225406323,شقة,4.0,3.0,137.0,1350000.0,شقة للبيع في الوادي، شمال الرياض,الوادي، شمال الرياض، الرياض,حي الوادي,الرياض
